2015-08-19 18:26:18.153 [RMI TCP Connection(3)-127.0.0.1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization started
2015-08-19 18:26:20.241 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.250 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.261 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.270 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.279 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.289 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.299 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.308 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.317 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.329 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.340 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.350 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.360 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.370 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.381 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.393 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.404 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.414 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.422 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.429 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.439 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.447 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.457 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.464 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.473 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.481 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.490 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.499 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.505 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.515 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.521 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.527 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.533 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.540 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.546 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.551 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.557 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.562 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.570 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.576 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.581 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.589 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.595 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.600 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.608 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.615 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.622 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.629 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.634 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.639 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.643 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.647 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.650 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.655 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.660 [RMI TCP Connection(3)-127.0.0.1] WARN  org.hibernate.util.DTDEntityResolver - recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2015-08-19 18:26:20.765 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsAcquisition -> jc_acquisition
2015-08-19 18:26:20.790 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsAcquisitionHistory -> jc_acquisition_history
2015-08-19 18:26:20.791 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsAcquisitionTemp -> jc_acquisition_temp
2015-08-19 18:26:20.792 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsAdvertising -> jc_advertising
2015-08-19 18:26:20.793 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping collection: com.jeecms.cms.entity.assist.CmsAdvertising.attr -> jc_advertising_attr
2015-08-19 18:26:20.797 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsAdvertisingSpace -> jc_advertising_space
2015-08-19 18:26:20.798 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsComment -> jc_comment
2015-08-19 18:26:20.801 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsCommentExt -> jc_comment_ext
2015-08-19 18:26:20.804 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsDirectiveTpl -> jc_directive_tpl
2015-08-19 18:26:20.805 [RMI TCP Connection(3)-127.0.0.1] INFO  org.hibernate.cfg.HbmBinder - Mapping class: com.jeecms.cms.entity.assist.CmsFile -> jc_file
